Frame,Elapsed_Time(s),Centroide_X,Centroide_Y,Erro_X,Erro_Y,PID_Lateral_Output,PID_Vertical_Output
156,24.64,257,409,-89.0,-17.0,-71.20,-13.60
157,24.79,262,415,-95.0,-22.0,-76.00,-17.60
158,24.93,265,426,-106.0,-25.0,-84.80,-20.00
159,25.05,266,431,-111.0,-26.0,-88.80,-20.80
160,25.19,189,405,-85.0,51.0,-68.00,40.80
161,25.34,181,407,-87.0,59.0,-69.60,47.20
162,25.49,173,409,-89.0,67.0,-71.20,53.60
163,25.65,168,414,-94.0,72.0,-75.20,57.60
164,25.76,161,414,-94.0,79.0,-75.20,63.20
165,25.94,154,416,-96.0,86.0,-76.80,68.80
166,26.08,145,419,-99.0,95.0,-79.20,76.00
167,26.24,143,422,-102.0,97.0,-81.60,77.60
168,26.41,145,439,-119.0,95.0,-95.20,76.00
169,26.55,150,466,-146.0,90.0,-116.80,72.00
170,26.65,150,475,-155.0,90.0,-124.00,72.00
171,26.79,148,482,-162.0,92.0,-129.60,73.60
172,26.90,144,487,-167.0,96.0,-133.60,76.80
173,27.05,81,438,-118.0,159.0,-94.40,127.20
174,27.19,70,440,-120.0,170.0,-96.00,136.00
175,27.30,61,443,-123.0,179.0,-98.40,143.20
176,27.43,52,448,-128.0,188.0,-102.40,150.40
177,27.54,44,453,-133.0,196.0,-106.40,156.80
178,27.68,35,458,-138.0,205.0,-110.40,164.00
179,27.79,27,463,-143.0,213.0,-114.40,170.40
180,27.91,18,470,-150.0,222.0,-120.00,177.60
181,28.02,11,476,-156.0,229.0,-124.80,183.20
182,28.15,4,480,-160.0,236.0,-128.00,188.80
183,28.27,0,474,-154.0,240.0,-123.20,192.00
184,28.40,7,523,-203.0,233.0,-162.40,186.40
185,28.50,4,526,-206.0,236.0,-164.80,188.80
264,39.63,464,0,320.0,-224.0,256.00,-179.20
