timestamp,depth_target,depth_actual,error,pid_output,thrust_x,thrust_y,thrust_z,obstacle,acao
1751566275.217102,1.3,96.739,-95.43900000000001,-126.03312406053672,0.4,0.0,-126.03312406053672,False,
1751566275.540453,1.3,95.511,-94.211,-74.61847290865441,0.4,0.0,-74.61847290865441,False,
1751566276.0450215,1.3,96.398,-95.098,-76.42998367008657,0.4,0.0,-76.42998367008657,False,
1751566276.349595,1.3,95.576,-94.276,-74.88101239624717,0.4,0.0,-74.88101239624717,False,
1751566276.6660807,1.3,94.36,-93.06,-73.67956245645756,0.4,0.0,-73.67956245645756,False,
1751566277.111407,1.3,94.136,-92.836,-74.16819358255671,0.4,0.0,-74.16819358255671,False,
1751566277.5401857,1.3,94.237,-92.937,-74.3966523681422,0.4,0.0,-74.3966523681422,False,
1751566277.840384,1.3,92.441,-91.141,-71.7121363116542,0.4,0.0,-71.7121363116542,False,
1751566278.2076504,1.3,88.136,-86.836,-67.13428534082351,0.4,0.0,-67.13428534082351,False,
1751566278.7289639,1.3,89.837,-88.537,-71.48351238751663,0.4,0.0,-71.48351238751663,False,
1751566279.0362673,1.3,93.362,-92.062,-75.93586149805431,0.4,0.0,-75.93586149805431,False,
1751566279.3368073,1.3,94.505,-93.205,-75.32463093936327,0.4,0.0,-75.32463093936327,False,
1751566279.758989,1.3,93.651,-92.351,-73.47524651019026,0.4,0.0,-73.47524651019026,False,
1751566280.239886,1.3,92.87,-91.57000000000001,-72.92918470316516,0.4,0.0,-72.92918470316516,False,
1751566280.552868,1.3,89.607,-88.307,-68.34402543400427,0.4,0.0,-68.34402543400427,False,
1751566280.9000626,1.3,93.02,-91.72,-75.17434621227159,0.4,0.0,-75.17434621227159,False,
1751566281.3868685,1.3,86.116,-84.816,-65.01351315691811,0.4,0.0,-65.01351315691811,False,
1751566281.7015784,1.3,84.833,-83.533,-66.01177477659954,0.4,0.0,-66.01177477659954,False,
1751566282.0108528,1.3,92.734,-91.434,-78.2530080212742,0.4,0.0,-78.2530080212742,False,
1751566282.4408295,1.3,91.161,-89.861,-71.1554563081501,0.4,0.0,-71.1554563081501,False,
1751566282.8810894,1.3,89.694,-88.394,-70.04723708041607,0.4,0.0,-70.04723708041607,False,
1751566283.1929433,1.3,91.553,-90.253,-73.38700032952784,0.4,0.0,-73.38700032952784,False,
1751566283.5586126,1.3,90.952,-89.652,-71.39380111495305,0.4,0.0,-71.39380111495305,False,
1751566284.0775588,1.3,91.906,-90.60600000000001,-72.85356043556015,0.4,0.0,-72.85356043556015,False,
1751566284.3803997,1.3,93.419,-92.119,-74.69938813025999,0.4,0.0,-74.69938813025999,False,
1751566284.6927726,1.3,92.5,-91.2,-72.37536816605113,0.4,0.0,-72.37536816605113,False,
1751566285.1148617,1.3,92.959,-91.659,-73.54520854918819,0.4,0.0,-73.54520854918819,False,
