Frame,Elapsed_Time(s),Centroide_X,Centroide_Y,Erro_X,Erro_Y,PID_Lateral_Output,PID_Vertical_Output
1319,178.70,40,16,304.0,200.0,248.51,149.38
1320,178.83,42,23,297.0,198.0,227.02,155.38
1324,179.35,1,162,158.0,239.0,72.66,207.05
1325,179.49,10,178,142.0,230.0,91.23,171.42
1360,183.98,53,575,-255.0,187.0,-221.70,147.68
1361,184.10,59,524,-204.0,181.0,-79.29,134.93
1362,184.24,88,506,-186.0,152.0,-122.84,79.78
1363,184.34,118,496,-176.0,122.0,-121.85,40.76
1366,184.72,264,613,-293.0,-24.0,-296.71,-96.95
1379,186.34,467,18,302.0,-227.0,314.87,-206.60
1380,186.44,406,80,240.0,-166.0,67.84,-10.64
1381,186.58,384,158,162.0,-144.0,16.79,-83.38
1382,186.81,441,167,153.0,-201.0,114.42,-211.32
1383,187.10,445,172,148.0,-205.0,115.02,-166.71
1384,187.24,471,188,132.0,-231.0,82.62,-222.15
1409,191.04,23,146,174.0,217.0,141.41,197.17
1411,191.29,3,493,-173.0,237.0,-415.92,205.60
1451,196.44,465,438,-118.0,-225.0,-92.26,-197.94
1452,196.58,461,440,-120.0,-221.0,-99.00,-170.80
1453,196.69,466,461,-141.0,-226.0,-150.04,-189.67
1454,196.83,451,456,-136.0,-211.0,-101.83,-147.89
1455,196.96,438,458,-138.0,-198.0,-113.42,-138.79
1456,197.11,422,445,-125.0,-182.0,-82.55,-124.12
1457,197.25,407,438,-118.0,-167.0,-84.52,-112.43
1458,197.38,399,448,-128.0,-159.0,-118.77,-114.11
1459,197.49,394,466,-146.0,-154.0,-148.66,-114.35
1460,197.63,345,455,-135.0,-105.0,-92.83,-16.42
1461,197.75,329,443,-123.0,-89.0,-77.27,-43.03
1462,197.87,331,440,-120.0,-91.0,-91.04,-76.11
1463,198.00,331,446,-126.0,-91.0,-109.79,-72.80
1464,198.22,336,449,-129.0,-96.0,-105.92,-81.34
1465,198.37,254,431,-111.0,-14.0,-64.48,99.61
1466,198.53,275,418,-98.0,-35.0,-61.62,-55.11
1467,198.68,283,417,-97.0,-43.0,-76.31,-44.69
1468,198.80,295,418,-98.0,-55.0,-80.16,-65.08
1469,198.99,306,420,-100.0,-66.0,-82.11,-64.40
1470,199.11,292,436,-116.0,-52.0,-119.38,-18.34
1471,199.23,339,435,-115.0,-99.0,-90.35,-156.74
1472,199.37,329,426,-106.0,-89.0,-71.91,-56.87
1473,199.54,267,424,-104.0,-27.0,-80.90,49.76
1474,199.72,249,413,-93.0,-9.0,-61.91,13.24
1475,199.89,204,404,-84.0,36.0,-56.56,82.00
1476,200.04,244,384,-64.0,-4.0,-25.22,-55.16
1477,200.22,246,379,-59.0,-6.0,-41.64,-7.02
1478,200.38,265,369,-49.0,-25.0,-26.85,-43.46
1479,200.54,367,368,-48.0,-127.0,-37.15,-228.90
1480,200.70,380,363,-43.0,-140.0,-28.19,-128.15
1481,200.83,398,358,-38.0,-158.0,-22.77,-153.85
1482,200.99,388,362,-42.0,-148.0,-38.65,-105.78
1483,201.12,254,356,-36.0,-14.0,-19.44,197.95
1484,201.26,234,369,-49.0,6.0,-57.55,33.02
1485,201.46,234,206,114.0,6.0,255.63,4.80
1486,201.62,51,243,77.0,189.0,15.92,377.15
1487,201.77,19,265,55.0,221.0,15.17,218.74
1488,201.92,32,412,-92.0,208.0,-280.72,148.08
1489,202.08,102,265,55.0,138.0,222.73,25.29
1490,202.25,194,258,62.0,46.0,57.80,-70.96
1491,202.41,196,413,-93.0,44.0,-269.61,32.68
1492,202.52,413,396,-76.0,-173.0,-30.45,-525.81
1493,202.64,445,389,-69.0,-205.0,-43.18,-218.93
1494,202.78,460,384,-64.0,-220.0,-43.85,-198.05
1495,202.88,392,198,122.0,-152.0,463.93,12.33
1496,203.02,407,184,136.0,-167.0,128.75,-154.98
1497,203.12,390,314,6.0,-150.0,-239.29,-88.08
1498,203.27,403,155,165.0,-163.0,354.89,-148.62
1499,203.40,379,159,161.0,-139.0,122.94,-76.02
1500,203.51,313,183,137.0,-73.0,65.99,61.54
1501,203.65,291,192,128.0,-51.0,89.39,-9.00
1502,203.76,178,350,-30.0,62.0,-324.56,264.56
1503,203.89,245,351,-31.0,-5.0,-26.25,-100.88
1504,204.02,248,351,-31.0,-8.0,-24.80,-11.27
1505,204.13,242,359,-39.0,-2.0,-46.13,9.60
1506,204.24,232,362,-42.0,8.0,-38.66,23.27
1507,204.38,249,358,-38.0,-9.0,-24.32,-33.04
1508,204.49,270,347,-27.0,-30.0,-2.82,-59.85
1509,204.63,272,345,-25.0,-32.0,-17.08,-28.52
1510,204.77,285,363,-43.0,-45.0,-60.13,-54.59
1511,204.89,308,374,-54.0,-68.0,-61.90,-93.50
1512,205.02,324,216,104.0,-84.0,326.44,-91.83
1513,205.13,344,214,106.0,-104.0,88.32,-118.40
1514,205.26,344,214,106.0,-104.0,84.80,-83.20
1515,205.41,338,215,105.0,-98.0,82.61,-70.05
1516,205.52,272,224,96.0,-32.0,59.95,97.94
1517,205.66,234,226,94.0,6.0,72.38,58.43
1518,205.79,134,240,80.0,106.0,42.96,235.06
1519,205.91,96,240,80.0,144.0,64.00,176.30
1520,206.04,136,489,-169.0,104.0,-532.68,19.35
1521,206.16,128,499,-179.0,112.0,-160.36,103.33
1522,206.29,114,516,-196.0,126.0,-183.24,122.57
1523,206.40,128,529,-209.0,112.0,-189.26,65.84
1524,206.53,137,541,-221.0,103.0,-195.23,68.58
1525,206.65,153,549,-229.0,87.0,-197.03,41.94
1526,206.78,163,553,-233.0,77.0,-192.33,46.78
1527,206.89,170,554,-234.0,70.0,-189.04,43.12
1528,207.03,168,548,-228.0,72.0,-173.79,60.47
1529,207.15,197,550,-230.0,43.0,-187.49,-16.14
1530,207.26,232,560,-240.0,8.0,-210.15,-57.14
1531,207.38,274,573,-253.0,-34.0,-222.79,-93.09
1532,207.52,285,599,-279.0,-45.0,-262.69,-52.71
1533,207.62,218,589,-269.0,22.0,-196.72,141.39
1534,207.77,313,387,-67.0,-73.0,215.20,-184.82
1535,207.93,328,401,-81.0,-88.0,-83.04,-89.94
1536,208.06,330,409,-89.0,-90.0,-83.14,-74.98
1537,208.21,329,413,-93.0,-89.0,-79.94,-69.81
1538,208.32,325,417,-97.0,-85.0,-84.42,-61.18
1539,208.45,317,421,-101.0,-77.0,-86.98,-49.24
1540,208.56,316,423,-103.0,-76.0,-86.00,-59.00
1541,208.70,310,423,-103.0,-70.0,-82.40,-47.17
1542,208.82,288,422,-102.0,-48.0,-79.87,-0.27
1543,208.93,267,418,-98.0,-27.0,-71.16,16.39
1544,209.06,246,408,-88.0,-6.0,-55.76,25.94
1545,209.20,212,396,-76.0,28.0,-43.57,71.23
1546,209.33,165,378,-58.0,75.0,-18.31,133.34
1547,209.44,110,620,-300.0,130.0,-662.73,200.07
1548,209.58,91,596,-276.0,149.0,-184.03,148.31
1549,209.69,89,567,-247.0,151.0,-145.82,124.37
1550,209.82,83,551,-231.0,157.0,-160.28,134.80
1551,209.93,85,546,-226.0,155.0,-172.12,120.53
1552,210.06,93,546,-226.0,147.0,-180.80,104.96
1553,210.17,104,549,-229.0,136.0,-188.59,89.02
1554,210.30,119,551,-231.0,121.0,-187.96,73.08
1555,210.43,132,549,-229.0,108.0,-180.09,66.16
1556,210.55,157,537,-217.0,83.0,-155.04,27.74
1557,210.66,206,544,-224.0,34.0,-192.22,-63.97
1558,210.80,258,549,-229.0,-18.0,-190.72,-92.66
1559,210.92,299,551,-231.0,-59.0,-188.00,-112.85
1560,211.03,318,555,-235.0,-78.0,-195.14,-96.31
1561,211.16,324,556,-236.0,-84.0,-190.37,-76.61
1562,211.31,325,552,-232.0,-85.0,-180.27,-69.33
1563,211.43,329,549,-229.0,-89.0,-177.99,-78.14
1564,211.55,330,547,-227.0,-90.0,-178.40,-73.60
1565,211.66,329,544,-224.0,-89.0,-173.67,-69.36
1566,211.79,322,530,-210.0,-82.0,-145.87,-54.53
1567,211.91,331,537,-217.0,-91.0,-184.48,-86.79
1568,212.04,346,531,-211.0,-106.0,-159.32,-108.51
1569,212.16,171,526,-206.0,69.0,-156.17,357.17
1570,212.29,138,523,-203.0,102.0,-157.86,131.56
1571,212.40,118,516,-196.0,122.0,-144.53,132.65
1572,212.52,115,295,25.0,125.0,381.01,104.90
1573,212.65,102,280,40.0,138.0,56.04,131.24
1574,212.79,93,263,57.0,147.0,70.59,130.83
1575,212.93,82,236,84.0,158.0,105.79,142.12
1576,213.05,84,220,100.0,156.0,106.03,121.55
1577,213.18,88,209,111.0,152.0,105.97,115.36
1578,213.33,99,209,111.0,141.0,88.80,98.84
1579,213.51,109,207,113.0,131.0,92.66,93.52
1580,213.66,90,201,119.0,150.0,103.25,145.48
1581,213.79,86,216,104.0,154.0,59.29,129.58
1582,213.93,92,229,91.0,148.0,54.11,109.78
1583,214.14,134,424,-104.0,106.0,-266.29,45.37
1584,214.27,136,415,-95.0,104.0,-62.04,80.10
1585,214.38,136,416,-96.0,104.0,-78.55,83.20
1586,214.52,140,422,-102.0,100.0,-90.60,74.00
1587,214.62,142,427,-107.0,98.0,-94.96,74.66
1588,214.75,149,429,-109.0,91.0,-90.37,61.71
1589,214.87,157,423,-103.0,83.0,-72.11,52.68
1590,215.01,172,416,-96.0,68.0,-67.23,33.90
1591,215.16,211,416,-96.0,29.0,-76.80,-30.03
1592,215.25,238,419,-99.0,2.0,-85.54,-55.49
1593,215.36,257,426,-106.0,-17.0,-97.52,-48.12
1594,215.49,275,447,-127.0,-35.0,-134.42,-56.13
1595,215.61,287,465,-145.0,-47.0,-146.59,-57.99
1596,215.73,297,471,-151.0,-57.0,-130.88,-62.39
1597,215.85,306,476,-156.0,-66.0,-132.87,-67.32
1598,215.99,292,480,-160.0,-52.0,-133.97,-20.71
1599,216.09,249,482,-162.0,-9.0,-133.37,73.89
1600,216.23,159,487,-167.0,81.0,-140.78,194.11
1601,216.36,173,469,-149.0,67.0,-92.04,32.47
1602,216.50,182,466,-146.0,58.0,-112.37,33.12
1603,216.61,181,465,-145.0,59.0,-114.24,48.96
1604,216.73,181,463,-143.0,59.0,-111.03,47.20
1605,216.87,181,463,-143.0,59.0,-114.40,47.20
1606,217.00,140,217,103.0,100.0,459.79,142.90
1607,217.15,264,195,125.0,-24.0,129.33,-184.50
1608,217.29,363,185,135.0,-123.0,122.26,-239.60
1609,217.44,361,223,97.0,-121.0,28.40,-94.21
1610,217.60,403,225,95.0,-163.0,73.40,-184.97
1611,217.74,380,241,79.0,-140.0,39.85,-78.43
1612,217.85,382,250,70.0,-142.0,39.78,-117.21
1613,218.00,377,249,71.0,-137.0,58.13,-102.94
1614,218.12,363,237,83.0,-123.0,85.08,-76.61
1615,218.24,353,221,99.0,-113.0,106.32,-73.45
1616,218.38,320,504,-184.0,-80.0,-569.85,-14.72
1617,218.49,281,496,-176.0,-41.0,-126.15,38.60
1618,218.64,240,483,-163.0,0.0,-113.60,52.97
1619,218.79,197,455,-135.0,43.0,-70.76,91.59
1620,218.94,196,153,167.0,44.0,551.49,36.58
1621,219.04,165,131,189.0,75.0,194.39,120.85
1622,219.18,136,118,202.0,104.0,179.86,123.92
1623,219.30,115,109,211.0,125.0,184.36,136.32
1624,219.43,100,106,214.0,140.0,175.83,135.15
1625,219.54,91,106,214.0,149.0,171.20,134.59
1626,219.67,91,110,210.0,149.0,161.93,119.20
1627,219.78,97,115,205.0,143.0,154.45,102.94
1628,219.91,110,117,203.0,130.0,159.41,84.58
1629,220.05,125,119,201.0,115.0,157.80,69.50
1630,220.14,138,117,203.0,102.0,166.65,54.00
1631,220.28,149,114,206.0,91.0,169.00,57.40
1632,220.43,159,109,211.0,81.0,175.73,50.94
1633,220.54,175,107,213.0,65.0,173.95,23.62
1634,220.67,217,121,199.0,23.0,137.75,-45.96
1635,220.79,257,127,193.0,-17.0,143.97,-83.16
1636,220.91,308,131,189.0,-68.0,145.02,-133.16
1637,221.03,244,99,221.0,-4.0,230.97,105.14
1638,221.18,206,400,-80.0,34.0,-469.16,78.35
1639,221.33,205,332,-12.0,35.0,84.21,29.38
1640,221.47,269,326,-6.0,-29.0,3.30,-109.59
1641,221.59,273,306,14.0,-33.0,47.05,-33.57
1642,221.70,272,283,37.0,-32.0,69.04,-23.89
1643,221.84,277,262,58.0,-37.0,76.98,-36.88
1644,221.94,287,247,73.0,-47.0,87.15,-56.77
1645,222.09,295,235,85.0,-55.0,84.33,-54.89
1646,222.20,298,221,99.0,-58.0,105.83,-52.11
1647,222.31,299,212,108.0,-59.0,102.02,-48.94
1648,222.47,292,204,116.0,-52.0,102.87,-32.79
1649,222.61,280,196,124.0,-40.0,110.75,-14.68
1650,222.74,265,192,128.0,-25.0,108.75,3.82
1651,222.89,236,184,136.0,4.0,119.35,41.43
1652,222.99,205,174,146.0,35.0,135.37,85.56
1653,223.12,228,183,137.0,12.0,95.18,-27.25
1654,223.24,247,158,162.0,-7.0,171.09,-37.13
1655,223.36,230,137,183.0,10.0,181.83,36.68
1656,223.50,203,123,197.0,37.0,177.73,68.42
1657,223.62,183,110,210.0,57.0,188.54,77.20
1658,223.73,171,101,219.0,69.0,191.72,77.22
1659,223.85,157,92,228.0,83.0,197.21,89.43
1660,223.98,136,80,240.0,104.0,210.56,115.69
1661,224.11,114,65,255.0,126.0,228.63,136.93
1662,224.24,97,49,271.0,143.0,240.73,139.83
1663,224.36,83,35,285.0,157.0,250.86,148.46
1664,224.48,71,23,297.0,169.0,258.16,155.76
1665,224.60,54,12,308.0,186.0,264.27,176.42
1666,224.73,31,2,318.0,209.0,270.58,204.42
2100,281.44,80,7,313.0,160.0,250.38,127.83
2101,281.59,136,112,208.0,104.0,27.87,9.32
2102,281.75,196,135,185.0,44.0,119.36,-39.51
2103,281.92,250,131,189.0,-10.0,155.91,-71.52
2104,282.11,284,136,184.0,-44.0,142.02,-70.40
2105,282.30,334,169,151.0,-94.0,85.14,-129.24
2106,282.47,388,180,140.0,-148.0,98.75,-183.44
2107,282.66,440,151,169.0,-200.0,165.57,-214.45
2108,282.85,453,157,163.0,-213.0,124.11,-184.03
2109,283.04,470,151,169.0,-230.0,141.47,-201.75
2119,284.99,1,28,292.0,239.0,246.21,239.27
2122,285.52,1,69,251.0,239.0,185.22,191.20
2123,285.69,233,26,294.0,7.0,283.49,-254.94
2124,285.90,9,150,170.0,231.0,18.15,397.68
2127,286.44,15,35,285.0,225.0,270.65,177.77
2128,286.65,260,7,313.0,-20.0,277.66,-254.53
2129,286.85,40,231,89.0,200.0,-155.86,383.01
2131,287.23,25,283,37.0,215.0,2.16,179.91
2132,287.39,75,241,79.0,165.0,112.95,72.77
2133,287.61,55,197,123.0,185.0,139.54,166.70
2134,287.81,36,244,76.0,204.0,14.71,181.83
2135,288.00,6,107,213.0,234.0,316.56,219.21
2136,288.19,44,53,267.0,196.0,270.32,116.89
2137,288.39,13,32,288.0,227.0,251.23,212.34
2138,288.59,31,75,245.0,209.0,152.36,148.93
2139,288.78,75,78,242.0,165.0,190.53,87.04
2141,289.16,8,598,-278.0,232.0,-496.18,220.88
2142,289.34,15,15,305.0,225.0,893.63,172.20
2144,289.72,36,130,190.0,204.0,90.97,152.05
2145,289.96,39,1,319.0,201.0,361.46,158.33
2153,292.15,467,213,107.0,-227.0,66.23,-220.71
2154,292.40,431,233,87.0,-191.0,53.56,-123.93
2155,292.61,399,73,247.0,-159.0,350.64,-96.59
2156,292.79,312,102,218.0,-72.0,142.64,37.68
2157,292.99,273,148,172.0,-33.0,90.95,13.15
2158,293.19,199,152,168.0,41.0,130.30,108.71
2159,293.37,157,312,8.0,83.0,-163.32,110.95
2160,293.54,190,316,4.0,50.0,-1.60,0.40
2161,293.73,302,134,186.0,-62.0,337.38,-165.65
2162,293.94,415,93,227.0,-175.0,222.39,-252.41
2163,294.13,421,83,237.0,-181.0,200.06,-151.08
2164,294.30,361,127,193.0,-121.0,103.88,-27.90
2165,294.49,311,157,163.0,-71.0,97.91,-2.65
2166,294.68,287,161,159.0,-47.0,123.12,-13.13
2167,294.86,229,337,-17.0,11.0,-208.60,73.06
2168,295.05,232,371,-51.0,8.0,-77.16,3.19
2169,295.22,329,379,-59.0,-89.0,-56.62,-185.39
2170,295.42,323,369,-49.0,-83.0,-29.11,-60.35
2171,295.60,314,359,-39.0,-74.0,-20.25,-49.35
2172,295.80,393,169,151.0,-153.0,310.58,-201.31
2173,295.96,360,374,-54.0,-120.0,-293.65,-55.68
2174,296.16,381,175,145.0,-141.0,314.36,-133.73
2175,296.33,329,177,143.0,-89.0,111.98,-8.36
2176,296.55,330,168,152.0,-90.0,129.73,-72.90
2177,296.74,336,165,155.0,-96.0,127.17,-83.14
2178,296.92,350,134,186.0,-110.0,182.28,-103.12
2179,297.20,281,116,204.0,-41.0,176.24,17.19
2180,297.39,221,84,236.0,19.0,222.27,77.96
2181,297.60,202,59,261.0,38.0,233.29,49.01
2182,297.79,161,36,284.0,79.0,251.28,106.13
2183,297.99,175,273,47.0,65.0,-199.42,38.00
2184,298.16,157,281,39.0,83.0,22.01,87.07
2185,298.34,152,26,294.0,88.0,517.01,75.93
2186,298.54,239,38,282.0,1.0,213.64,-85.90
2187,298.71,267,285,35.0,-27.0,-278.12,-56.30
2188,298.91,266,280,40.0,-26.0,36.86,-19.83
2189,299.12,298,289,31.0,-58.0,16.26,-76.75
2190,299.33,312,269,51.0,-72.0,59.73,-70.85
2191,299.52,275,284,36.0,-35.0,13.06,10.83
2192,299.71,303,62,258.0,-63.0,447.84,-80.85
2193,299.91,339,102,218.0,-99.0,133.90,-115.65
2194,300.10,356,106,214.0,-116.0,167.13,-110.08
2195,300.30,311,105,215.0,-71.0,173.01,-11.32
2196,300.49,397,95,225.0,-157.0,190.76,-218.12
2197,300.69,449,167,153.0,-209.0,52.03,-218.02
2198,300.89,465,305,15.0,-225.0,-124.99,-195.88
2199,301.09,466,276,44.0,-226.0,65.06,-181.83
2200,301.26,434,245,75.0,-194.0,95.36,-118.70
2201,301.44,404,193,127.0,-164.0,160.24,-97.37
2202,301.56,411,179,141.0,-171.0,136.03,-148.42
2203,301.71,450,121,199.0,-210.0,237.72,-220.80
2209,302.50,475,80,240.0,-235.0,202.39,-194.34
2230,305.55,445,26,294.0,-205.0,238.74,-162.03
2236,306.77,338,44,276.0,-98.0,217.85,-60.86
