Frame,Elapsed_Time(s),Centroide_X,Centroide_Y,Erro_X,Erro_Y,PID_Lateral_Output,PID_Vertical_Output
371,53.49,5,457,-137.0,235.0,-107.12,187.45
374,53.87,38,437,-117.0,202.0,-83.08,144.24
376,54.10,41,454,-134.0,199.0,-121.80,156.62
377,54.23,47,433,-113.0,193.0,-59.11,145.46
378,54.34,29,394,-74.0,211.0,14.67,202.89
380,54.59,33,410,-90.0,207.0,-84.65,162.44
381,54.72,12,429,-109.0,228.0,-117.73,216.15
382,54.85,29,398,-78.0,211.0,-14.64,142.61
384,55.09,17,367,-47.0,223.0,-12.73,188.03
386,55.32,0,43,277.0,240.0,513.38,207.31
388,55.55,23,360,-40.0,217.0,-298.47,154.27
390,55.80,31,385,-65.0,209.0,-72.11,160.76
391,55.99,42,392,-72.0,198.0,-64.93,146.89
393,56.24,44,432,-112.0,196.0,-122.26,155.17
398,56.85,23,447,-127.0,217.0,-106.49,180.45
400,57.09,15,434,-114.0,225.0,-80.35,186.67
403,57.47,24,404,-84.0,216.0,-51.30,168.03
413,58.80,0,276,44.0,240.0,54.39,195.60
416,59.28,36,321,-1.0,204.0,-19.54,148.21
422,60.13,40,243,77.0,200.0,80.02,159.06
423,60.30,43,244,76.0,197.0,59.62,154.06
424,60.42,37,239,81.0,203.0,73.17,172.44
436,62.02,80,222,98.0,160.0,80.52,122.63
437,62.12,400,197,123.0,-160.0,148.57,-770.23
438,62.26,78,175,145.0,162.0,146.84,581.02
439,62.37,408,175,145.0,-168.0,116.00,-734.58
440,62.51,62,150,170.0,178.0,171.75,637.24
441,62.62,61,162,158.0,179.0,103.66,145.10
442,62.74,32,130,190.0,208.0,204.49,213.96
443,62.87,474,125,195.0,-234.0,163.83,-879.27
444,63.00,23,132,188.0,217.0,139.78,857.87
445,63.12,25,159,161.0,215.0,83.05,168.61
446,63.26,455,126,194.0,-215.0,203.35,-799.45
447,63.39,457,131,189.0,-217.0,143.56,-176.66
448,63.50,458,167,153.0,-218.0,57.94,-176.19
449,63.69,469,133,187.0,-229.0,185.45,-194.80
450,63.82,469,133,187.0,-229.0,149.60,-183.20
451,63.99,469,133,187.0,-229.0,149.60,-183.20
452,64.13,469,133,187.0,-229.0,149.60,-183.20
453,64.28,469,133,187.0,-229.0,149.60,-183.20
454,64.42,469,133,187.0,-229.0,149.60,-183.20
455,64.55,446,7,313.0,-206.0,444.21,-129.42
456,64.70,458,18,302.0,-218.0,226.46,-190.92
457,64.85,415,3,317.0,-175.0,272.62,-85.48
460,65.25,212,92,228.0,28.0,137.37,125.11
